"region","freq"
"alabama",4
"alberta",9
"arizona",9
"arkansas",6
"california",148
"central denmark region",1
"coahuila",1
"colorado",23
"community of madrid",1
"connecticut",24
"cyprus",3
"delaware",11
"district of columbia",45
"england",5
"florida",31
"georgia",81
"guam",1
"guanajuato",1
"idaho",3
"illinois",48
"indiana",28
"iowa",44
"kansas",164
"kentucky",11
"lódz voivodeship",1
"louisiana",11
"maine",7
"malta",1
"manitoba",2
"maranhão",1
"maryland",48
"massachusetts",40
"mexico city",4
"michigan",38
"minnesota",27
"missouri",39
"montana",2
"nagano prefecture",1
"nebraska",7
"nevada",19
"new hampshire",6
"new jersey",36
"new mexico",4
"new york",85
"north carolina",28
"north dakota",12
"nuevo león",5
"ohio",85
"oklahoma",15
"ontario",43
"oregon",19
"pennsylvania",36
"puerto rico",1
"quebec",4
"rhode island",3
"saskatchewan",2
"south carolina",11
"south dakota",5
"state not found",191
"stockholm county",1
"tennessee",13
"texas",80
"utah",17
"utrecht",2
"vermont",3
"virginia",56
"washington",50
"west virginia",27
"western finland",11
"wisconsin",25
"wyoming",4
"alaska",0
"hawaii",0
"mississippi",0
